Complexity,Loss,Equation
1,2.5333085,"4.20796"
3,0.4200054,"ALD * 0.9566938"
5,0.3142199,"ALD - log_abs(log_abs(PAS))"
6,0.23504539,"ALD - log_abs(PAS * 0.29779825)"
7,0.21909466,"(PAS * -0.2796219) + (ALD + 1.0599945)"
9,0.16638306,"(ALD + ((ALD + PAS) * -0.13982846)) + 1.0601612"
10,0.12577821,"(ALD + 0.84980106) + (log_abs(ALD) * (PAS * -0.17311743))"
11,0.08729267,"(PAS * -0.2915917) + ((ALD * -0.20036785) + (ALD + 1.9672419))"
13,0.08729266,"(ALD + (PAS * -0.291566)) + ((ALD * -1.2003363) + (ALD + 1.9669821))"
