AEM1;AEM2;AEM3;AEM4;AEM5;AEM6;ASM1;ASM2;ASM3;ASM4;ASM5;ASM6;AIC1;AIC2;AIC3;AIC4;AIC5;ADR1;ADR2;ADR3;ADR4;AEV1;AEV2;AEV3;AEV4;ADC1;ADC2;ADC3;PAS7;PAS18;PAS13;PAS20;PAS1;PAS12;PAS8;PAS15;PAS6;PAS14;PAS5;PAS16;PAS17;PAS9;PAS3 ;PAS2;PAS11;AAC1;AAC2;AAC3;ATP1;ATP2;ATP3;AVR1;AVR2;AVR3;AVR4;AVR5;TRU1;TRU2;TRU3;CRT1;CRT2;CRT3;CRT4;CRT5;CRT6;CRT7;CRT8;CRT9;CRT10;CRT11;CRT12;CRT13;JSA1;JSA2;JSA3;JSA4;JSA5;MHL1;MHL2;MHL3;MHL4;MHL5;ATI1;ATI2 ;ATI3;ATI4;ATI5;ATI6;ATI7 ;ADC;ADR;AEM;AEV;AIC;ASM;ACL;ANR;AAC_ustd;ALD_ustd;ATP_ustd;AVR_ustd;CRT_ustd;PAS_ustd;TRU_ustd
5;4;4;4;4;3;4;4;4;4;5;5;4;4;4;4;4;4;4;5;4;4;5;3;5;5;4;4;3;4;4;4;3;3;3;4;4;4;5;3;6;5;3;3;7;4;5;5;3;3;2;3;3;3;2;4;4;4;5;5;5;5;5;4;5;5;5;5;4;5;4;4;5;4;4;4;4;5;5;4;3;4;4;3;5;3;5;5;3;0,064;-0,233;-0,278;-0,246;-0,082;-0,128;-0,157;-0,189;4,678;4,101465614;2,631;2,989;4,683;3,832;4,315
3;4;3;4;4;3;3;3;3;2;2;3;7;3;3;3;2;4;4;3;2;3;4;1;3;2;2;2;1;2;1;1;1;1;1;1;2;2;2;2;5;4;3;1;3;4;4;4;2;1;2;2;3;3;2;3;2;2;2;4;3;4;4;4;3;4;4;4;3;4;4;4;3;2;7;3;4;5;5;4;3;5;3;2;3;2;5;5;2;-1,677;-1,093;-0,278;-1,481;-0,434;-1,581;-1,622;-0,977;4;2,804960541;1,691;2,591;3,771;1,583;2
7;7;6;7;7;6;6;6;7;7;6;7;7;6;6;7;6;7;7;7;7;7;7;2;7;6;6;6;4;3;2;4;3;5;2;4;6;4;6;3;7;7;6;4;6;6;6;7;7;6;7;2;2;2;3;2;6;6;5;4;5;6;6;4;6;6;5;6;6;6;7;6;5;2;4;5;6;7;7;7;6;6;7;6;6;7;7;7;6;1,293;2,034;2,261;1,048;1,836;1,696;1,653;2,299;6,301;6,497181511;6,691;2,208;5,61;4,178;5,685
6;6;5;6;4;5;4;5;5;5;5;5;4;4;4;4;3;5;6;5;6;5;5;5;6;5;4;3;5;6;6;4;5;5;4;5;5;5;6;5;6;6;4;5;6;4;6;6;3;3;5;5;5;5;3;5;5;5;5;6;6;6;6;5;5;5;5;5;5;5;5;5;6;5;5;5;6;6;7;6;6;6;6;5;5;4;6;6;5;-0,179;0,758;1,032;0,538;-0,247;0,282;0,421;0,394;5,356;4,75535513;3,739;4,583;5,31;5,084;5
5;6;6;6;3;5;5;6;5;6;4;6;6;5;6;3;6;1;6;7;6;6;5;5;6;5;5;5;2;1;5;2;2;2;1;4;2;2;1;1;7;7;2;1;4;6;5;4;2;2;5;2;2;3;2;3;6;5;5;6;5;6;6;6;7;7;7;7;6;5;5;4;6;4;5;6;6;7;7;7;7;7;6;5;5;3;5;6;5;0,55;0,419;0,841;0,73;0,913;0,691;0,649;0,974;5,021;5,19729425;3,108;2,396;5,898;2,147;5,354
2;3;5;4;5;4;2;3;3;4;6;3;2;3;4;2;4;5;5;6;2;2;6;2;3;1;1;2;6;6;5;7;3;4;3;5;6;6;4;6;7;5;7;6;5;4;6;6;1;2;4;5;3;4;2;4;3;2;7;6;5;6;5;5;2;3;2;4;2;5;2;4;4;3;4;3;4;5;6;2;2;1;2;5;1;1;6;6;3;-2,177;0,024;-0,123;-1,032;-0,854;-0,804;-1,226;-0,745;5,356;3,164599775;2,417;3,59;3,937;5,227;3,929
6;6;7;7;4;2;7;6;3;6;7;7;4;6;5;4;2;6;4;5;5;6;7;6;7;7;7;1;6;6;5;2;5;4;7;4;5;7;6;7;7;3;4;4;7;6;5;5;6;4;4;1;3;2;1;1;3;5;4;5;6;4;7;5;2;3;7;7;5;6;7;7;6;7;5;2;6;3;3;5;1;5;1;3;6;6;7;7;7;0,581;0,367;0,682;1,593;0,075;1,314;0,979;0,858;5,322;5,335963923;4,643;1,587;5,542;5,248;3,976
3;3;2;2;2;2;1;1;2;3;3;2;2;3;5;5;3;4;3;3;7;2;5;5;6;6;2;5;1;1;1;1;1;1;2;3;3;5;1;1;3;2;1;1;2;3;3;4;5;5;4;1;3;2;1;3;2;4;3;6;5;5;5;4;6;7;6;6;6;7;5;3;6;6;7;7;7;6;7;3;2;7;7;6;6;6;7;7;5;0,074;-0,331;-1,546;-0,038;-0,386;-2,091;-0,108;-1,637;3,301;3,373167982;4,631;1,983;5,452;1,704;2,976
1;7;7;6;3;6;1;6;7;7;7;7;3;4;2;1;2;3;6;7;7;3;1;5;1;7;6;1;7;1;7;5;1;4;7;6;4;7;1;6;7;1;1;1;3;3;3;2;1;1;6;5;7;4;7;7;6;1;1;1;2;7;7;7;7;7;7;7;5;4;6;7;7;2;1;1;6;1;1;1;1;4;2;7;3;3;5;1;7;0,337;1,019;1,265;-1,872;-1,376;1,159;-0,226;0,413;2,699;4,375422773;2,847;6,002;5,635;4,013;2,771
5;3;4;3;3;2;4;4;4;4;5;4;4;4;4;3;4;4;5;5;4;3;5;3;4;4;3;3;4;5;3;4;3;3;2;3;4;4;5;3;6;5;4;3;4;4;5;4;3;3;4;3;3;3;3;4;4;4;5;4;4;5;5;4;4;4;5;4;3;4;4;4;4;3;4;4;3;5;5;4;3;5;5;5;4;3;5;5;2;-0,679;-0,032;-1,124;-0,661;-0,235;-0,275;-0,529;-0,618;4,377;3,65276212;3,369;3,198;4,144;3,61;4,315
3;2;3;2;2;1;1;1;2;4;3;2;4;3;2;1;2;3;3;3;2;3;6;2;5;6;3;5;3;7;5;4;2;4;6;5;5;4;6;7;4;2;6;4;2;4;5;2;1;1;2;4;4;2;4;4;1;2;2;2;3;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;6;0,318;-1,498;-1,97;-0,395;-1,378;-1,942;-0,584;-2,12;3,776;2,833145434;1,369;3,603;1,383;4,564;1,646
6;5;3;3;6;3;3;4;4;3;5;4;4;4;3;2;4;5;4;4;2;2;3;1;5;3;2;1;2;2;1;2;4;5;3;2;1;1;3;2;6;5;3;5;3;4;6;4;2;2;6;2;1;3;1;2;5;5;6;3;4;5;3;3;3;5;2;3;3;4;4;3;3;2;4;4;2;5;5;5;2;2;3;2;1;1;6;3;2;-1,663;-0,652;0,104;-1,455;-0,562;-0,562;-1,444;-0,439;4,755;3,193912063;3,477;1,796;3,446;2,653;5,315
5;4;4;4;4;6;4;5;5;4;5;5;6;6;5;5;3;5;3;4;5;3;4;2;3;2;3;2;1;2;3;3;3;3;3;3;3;2;3;3;5;5;1;2;3;4;2;3;4;3;3;3;3;2;2;3;3;2;2;3;2;6;5;4;2;2;6;3;3;3;3;3;5;2;2;5;5;5;3;2;4;3;6;4;3;4;6;6;3;-1,433;-0,275;0,303;-1,296;0,703;0,133;-1,155;0,45;2,944;3,833145434;3,322;2,593;3,466;2,537;2,354
5;5;4;4;4;5;4;4;4;5;4;5;4;4;4;3;3;4;5;5;5;4;5;2;5;6;4;4;3;5;5;4;3;3;2;4;4;5;7;4;6;5;3;3;4;5;5;5;3;3;4;2;2;2;2;3;4;4;4;5;5;5;5;4;5;6;6;5;4;4;5;4;5;3;4;4;4;5;5;4;3;5;5;3;4;3;5;5;2;0,32;0,161;0,34;-0,43;-0,4;-0,133;0,014;-0,099;5;4,25253664;3,369;2,198;4,83;3,953;4
5;3;2;5;3;2;4;5;4;6;6;6;6;6;4;3;5;3;5;4;3;5;5;1;6;3;3;2;3;3;2;2;2;2;3;4;5;5;4;3;5;4;3;4;4;5;5;6;2;2;2;3;3;3;3;4;3;4;3;4;5;5;5;4;5;5;5;4;3;5;5;4;4;3;4;3;6;6;5;5;5;4;3;3;5;3;4;4;3;-1,177;-0,665;-0,662;-0,2;0,554;0,6;-0,773;0,254;5,301;3,961668546;2;3,198;4,52;3,301;3,331
5;5;5;4;5;5;5;5;5;5;5;6;5;4;5;4;4;5;5;5;5;5;5;4;6;6;4;4;5;5;5;5;4;5;4;5;5;5;6;4;6;6;5;4;4;6;6;6;4;4;5;3;4;3;3;5;5;5;5;5;5;6;5;5;5;7;6;6;5;5;5;5;5;5;5;5;5;6;6;5;4;5;5;4;5;4;6;6;3;0,32;0,364;0,531;0,354;0,248;0,567;0,395;0,541;6;4,817361894;4,369;3,59;5,369;4,743;5
7;6;6;6;4;6;7;6;7;7;3;7;7;7;6;6;7;7;7;7;7;7;7;7;7;7;7;6;6;6;7;6;4;4;4;5;6;6;6;5;6;7;5;4;5;6;7;7;6;5;6;3;4;2;2;5;6;6;6;7;7;7;7;7;6;7;7;7;7;7;6;6;7;6;6;6;6;7;7;7;7;7;7;6;7;6;7;6;3;1,793;2,034;1,226;1,97;2,006;1,372;2,204;1,854;6,678;6,596392334;5,691;3,183;6,778;5,244;6
5;4;5;4;4;5;5;4;4;6;6;5;4;5;4;3;4;4;4;5;5;6;6;5;6;5;5;4;5;6;5;5;4;3;4;4;5;6;6;5;6;6;4;5;6;5;6;7;3;2;5;3;4;3;2;5;5;5;5;5;6;5;6;5;5;5;6;5;4;5;4;5;5;5;5;5;5;6;6;5;5;5;5;3;5;3;6;6;3;0,308;-0,04;0,11;0,958;-0,078;0,462;0,477;0,213;5,979;4,694475761;3,43;3,382;5,073;4,874;5
5;5;5;5;5;4;4;5;4;5;5;5;4;5;5;4;4;4;5;5;5;5;6;4;6;5;5;4;4;5;5;5;4;4;3;4;5;4;5;4;6;5;4;4;4;5;6;6;4;3;5;3;3;3;3;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;4;5;4;3;5;3;5;5;3;0,308;0,161;0,568;0,581;0,25;0,151;0,404;0,37;5,678;4,732807215;4,06;3,198;4,922;4,261;5
6;6;6;6;7;7;7;6;6;7;6;7;6;6;7;6;6;7;6;6;7;7;7;6;7;7;6;6;6;6;6;6;6;6;5;5;4;5;5;5;7;6;5;5;5;6;6;7;5;5;6;6;6;6;5;6;5;5;6;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;3;6;6;6;6;5;1,549;1,595;1,993;1,785;1,703;1,703;1,876;2,153;6,301;6,555806088;5,369;5,792;6,923;5,336;5,315
6;5;1;4;6;7;1;1;1;5;7;7;4;3;3;6;2;1;7;7;2;7;6;6;7;1;3;1;6;2;2;5;5;3;2;6;7;7;3;1;7;7;7;6;7;7;6;7;1;1;2;2;1;3;3;1;3;6;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;3;6;5;7;7;7;7;7;7;4;3;1;5;7;7;6;-1,931;-0,15;1,11;1,558;-0,439;-0,576;-0,186;-0,037;6,623;4,163472379;1,369;2,015;6,931;4,707;5,252
5;6;5;4;5;3;4;4;4;5;6;5;5;5;5;5;4;5;5;5;5;6;6;5;6;6;6;5;5;6;6;5;5;4;5;5;6;6;6;5;6;5;4;4;6;6;6;6;4;4;5;4;4;4;4;4;4;4;5;5;5;6;6;5;5;6;6;6;5;5;5;5;5;5;6;6;5;5;5;5;4;5;5;3;5;3;6;5;4;1,05;0,364;0,374;0,958;0,558;0,175;0,909;0,436;6;5,072153326;4,369;4;5,378;5,198;4,315
5;4;5;4;4;3;5;5;5;5;5;5;4;5;5;4;5;5;4;5;5;5;5;3;6;5;4;4;3;4;2;3;2;3;2;3;3;4;5;2;6;6;3;4;4;6;5;6;5;4;5;3;3;3;2;3;5;5;5;5;5;6;6;5;5;6;6;6;5;5;5;6;5;4;4;4;3;6;6;5;5;5;5;3;5;3;5;5;2;0,064;0,163;-0,278;0,169;0,416;0,42;0,15;0,255;5,623;4,519729425;4,691;2,792;5,455;3,188;5
5;3;4;3;3;3;4;2;4;4;3;3;4;3;4;2;3;3;2;3;3;2;4;2;6;3;5;2;1;1;1;1;2;2;1;4;3;3;4;2;5;4;2;2;4;6;5;4;3;3;3;2;3;3;3;4;3;3;4;4;4;5;4;4;5;4;4;4;3;4;3;3;5;5;5;5;6;5;4;4;5;4;5;2;3;3;4;4;2;-0,689;-1,506;-0,93;-0,82;-0,71;-0,989;-1,138;-1,057;5,021;3,05524239;3;2,997;3,897;2,265;3,315
7;3;1;1;7;7;4;1;2;1;1;1;1;3;2;1;2;7;4;3;1;1;1;3;6;5;7;5;7;5;6;2;4;6;7;3;6;2;1;7;5;1;1;6;6;7;7;1;1;2;6;7;7;5;7;3;3;5;5;3;5;1;3;5;3;1;5;5;4;3;2;4;1;6;7;7;7;7;7;7;7;7;7;1;2;1;1;1;1;1,038;-0,675;0,148;-1,511;-1,843;-2,429;-0,441;-1,769;5,196;3,10259301;3,156;5,812;3,43;4,53;4,291
7;7;7;3;4;4;6;5;4;7;6;7;7;6;4;5;4;6;6;7;7;5;7;6;7;7;6;6;3;3;1;2;1;1;2;2;3;5;6;2;6;7;2;4;3;3;5;6;5;5;6;1;2;2;1;2;5;6;7;6;2;6;4;5;5;6;6;6;3;3;6;6;7;6;6;7;6;7;7;7;7;7;7;5;6;3;6;6;5;1,549;1,629;0,376;1,401;0,849;1,172;1,739;0,997;4,657;5,866967306;5,369;1,591;4,89;2,733;5,961
6;6;6;6;6;5;6;6;6;7;6;6;5;6;6;5;6;6;6;6;6;6;6;5;6;6;6;6;5;6;5;5;4;4;3;1;5;5;5;5;7;6;5;5;5;6;2;7;5;5;6;4;4;4;4;5;5;6;6;6;6;6;6;6;6;6;6;6;5;5;5;6;6;6;5;6;6;6;5;5;4;4;3;3;5;4;6;6;3;1,293;1,199;1,414;0,958;1,221;1,418;1,31;1,626;4,791;5,937993236;5,369;4,198;5,757;4,496;5,646
6;6;6;3;5;6;2;2;5;5;6;3;4;5;4;2;2;4;4;4;4;2;3;2;6;7;2;4;5;5;5;6;5;5;5;5;6;5;5;4;6;5;7;6;7;6;4;4;6;6;7;2;2;2;3;4;5;5;5;5;6;5;5;4;5;4;5;5;3;3;3;4;2;2;3;3;4;3;3;3;1;1;3;3;3;4;6;5;5;0,088;-0,47;0,724;-1,048;-0,562;-0,522;-0,548;-0,2;4,644;3,860202931;6,369;2,604;4,372;5,408;5
5;6;4;3;5;4;5;5;6;6;4;4;4;3;5;4;2;4;5;5;3;7;7;6;4;5;4;4;3;2;2;3;3;4;2;4;3;4;5;2;6;4;3;3;5;6;5;5;5;6;6;4;5;4;2;2;3;6;6;4;6;6;5;3;6;5;5;5;6;6;5;5;5;4;5;6;5;6;6;5;3;7;3;2;5;5;7;7;4;0,064;-0,224;0,337;1,117;-0,396;0,4;0,378;0,139;5,322;4,596392334;5,678;3,382;5,148;3,281;4,937
6;3;4;4;6;3;4;4;5;5;4;5;5;5;4;4;4;5;4;5;4;3;4;4;4;4;5;4;3;4;4;3;3;4;2;4;4;4;4;4;5;4;4;3;4;5;5;5;3;3;4;4;4;3;4;4;3;3;4;4;4;4;4;4;2;3;3;4;4;4;3;4;5;4;4;4;4;4;4;3;5;4;4;3;3;3;4;5;3;0,052;-0,03;-0,126;-0,704;0,23;-0,002;-0,266;0,047;5;4,158962796;3,369;3,801;3,643;3,599;3,315
4;3;3;4;4;2;4;3;3;3;3;2;4;4;3;4;4;2;3;4;3;4;5;4;4;3;6;2;2;2;1;2;2;2;1;3;2;2;2;2;3;3;2;3;2;2;4;4;2;2;3;2;1;2;1;2;4;3;3;3;2;2;3;3;3;2;2;3;2;3;3;2;2;1;2;2;1;3;3;3;2;2;2;2;2;1;3;2;2;-0,445;-1,271;-0,702;-0,284;-0,256;-1,286;-0,749;-0,925;3,356;3,358511838;2,369;1,597;2,541;2,031;3,354
3;4;4;3;3;7;2;5;3;7;7;6;5;5;3;4;5;5;5;4;6;3;3;4;5;1;2;1;6;7;7;3;5;7;6;7;7;6;4;6;7;4;6;3;5;4;5;6;2;2;2;2;2;2;1;2;4;6;3;2;3;2;1;4;1;2;5;3;2;3;2;1;1;2;2;4;4;2;3;1;1;2;2;5;3;2;5;2;1;-2,175;0,32;0,075;-0,709;0,221;0,496;-0,991;0,336;4,979;3,872604284;2;1,792;2,407;5,615;4,347
5;5;5;4;3;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;6;4;6;6;4;4;5;5;5;5;4;4;4;4;5;5;6;4;6;6;5;4;5;5;6;6;4;4;5;4;4;4;3;4;5;5;5;5;5;6;5;5;5;5;6;5;5;5;5;5;5;4;4;5;5;5;5;4;4;5;5;3;5;4;5;5;3;0,32;0,364;0,149;0,581;0,405;0,42;0,483;0,403;5,678;4,798196167;4,369;3,792;5,149;4,668;5
2;2;4;1;1;1;2;2;3;2;4;5;2;3;3;2;3;1;3;3;2;2;4;4;3;1;4;2;2;3;5;3;2;3;1;2;4;4;5;3;7;6;3;4;6;3;4;5;2;2;2;2;2;1;2;3;1;1;2;4;4;5;5;3;2;3;4;3;3;2;3;3;2;1;2;1;1;2;2;3;1;1;2;2;2;1;3;3;2;-1,445;-1,904;-2,392;-1,119;-1,194;-1,248;-1,691;-1,888;3,979;2,286358512;2;1,999;3,393;3,357;1,315
6;4;5;1;4;3;4;2;5;4;5;4;4;4;4;3;3;4;4;5;4;3;5;3;5;4;4;4;3;3;2;2;3;2;3;3;4;4;4;3;5;5;3;3;4;4;5;7;2;2;4;3;3;3;2;5;4;4;5;5;5;5;5;4;2;5;5;5;4;5;5;5;4;4;4;4;4;5;5;3;3;4;5;3;5;3;5;5;2;-0,192;-0,233;-0,97;-0,438;-0,4;-0,403;-0,33;-0,686;5,28;3,737316798;2,739;3,187;4,644;3,087;4,315
5;6;4;3;3;6;4;3;3;5;3;4;4;4;4;3;3;4;4;5;4;3;6;5;5;5;5;4;2;2;1;1;2;3;2;2;2;5;3;2;5;5;4;3;4;2;4;4;3;3;5;3;4;4;3;3;5;4;5;4;6;7;6;5;5;3;5;6;5;5;6;5;3;3;5;4;6;4;4;4;2;5;5;5;6;6;6;6;5;0,308;-0,233;0,342;0,159;-0,4;-0,695;0,094;-0,348;3,356;4,170236753;3,739;3,393;5,248;2,58;4,669
4;3;4;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;4;2;4;4;3;3;3;4;3;3;3;2;2;3;4;4;5;3;5;5;3;3;4;4;5;4;2;2;3;2;2;2;2;3;3;3;3;4;4;5;4;4;5;5;5;5;4;4;4;5;4;3;4;3;3;3;3;3;3;3;3;2;4;3;3;5;2;-0,679;-1,305;-0,93;-1,073;-0,887;-0,982;-1,159;-1,125;4,377;3,006764374;2,369;2,198;4,442;3,286;3
7;7;7;5;4;4;3;6;7;4;3;7;7;4;4;6;2;6;7;7;7;7;7;7;7;7;7;7;4;7;7;4;7;7;7;7;7;7;7;7;6;5;7;7;7;7;7;6;6;6;7;7;7;7;7;7;7;7;7;4;3;5;5;4;4;3;6;7;7;7;7;6;7;5;3;4;7;4;1;3;5;5;4;3;3;4;4;3;5;2,035;1,83;0,838;1,97;0,357;0,372;2,221;0,608;6,699;5,954904171;6,369;7;5,281;6,6;7
6;6;6;6;6;6;6;6;6;7;6;6;6;5;6;6;6;6;6;7;6;5;7;6;6;7;6;5;5;6;6;6;5;5;5;5;6;6;6;4;5;7;5;5;6;6;6;6;5;5;6;4;4;4;4;5;6;6;6;6;6;6;6;6;6;7;7;6;6;6;6;6;6;6;6;6;6;7;6;6;6;6;6;5;6;5;7;6;4;1,306;1,436;1,608;1,178;1,372;1,418;1,488;1,756;6;6,112739572;5,369;4,198;6,146;5,416;6
5;4;5;5;4;5;5;5;6;6;6;6;5;5;5;5;5;5;5;6;6;6;6;5;6;6;5;5;5;5;5;5;5;5;4;4;5;5;6;4;7;7;4;4;5;5;6;6;5;4;6;4;5;4;4;5;5;5;5;6;6;6;5;5;5;6;6;5;5;5;5;5;5;4;5;4;4;6;6;5;1;5;5;7;5;3;6;5;3;0,806;0,794;0,341;0,958;0,724;1,001;0,974;0,858;5,678;5,332581736;5,06;4,392;5,379;4,755;5
7;7;5;6;4;2;2;4;5;4;1;2;7;5;5;3;5;5;3;6;2;5;6;2;7;5;5;6;5;5;2;7;4;3;6;5;7;5;5;5;7;7;4;2;5;2;7;7;7;5;4;7;6;4;3;2;4;3;5;7;7;5;4;2;5;5;7;7;6;6;4;3;2;2;3;1;4;5;5;6;2;6;6;3;7;2;6;6;1;0,793;-0,379;0,681;0,435;0,727;-1,329;0,333;-0,056;5,391;4,466741826;5,274;4,388;5,257;4,638;3,984
4;4;5;4;3;3;3;3;3;2;3;2;3;3;3;3;4;4;2;3;3;4;3;2;3;2;2;1;1;2;1;1;1;2;2;1;1;2;3;2;3;3;1;2;3;2;4;4;2;4;5;2;2;2;1;1;3;3;5;4;4;5;4;4;5;5;5;3;2;3;4;3;3;4;3;3;1;3;3;3;2;2;2;2;5;4;5;6;2;-1,919;-1,303;-0,469;-1,332;-0,721;-1,573;-1,734;-1,157;3,356;2,642615558;3,726;1,594;3,88;1,687;3,63
3;6;2;7;6;6;6;7;6;6;6;7;7;7;6;7;6;4;4;5;7;5;7;4;6;1;3;4;1;1;1;1;2;1;1;1;1;3;5;3;4;5;5;1;1;2;4;4;7;6;6;2;1;3;2;6;5;3;3;2;6;7;4;4;3;3;5;5;3;3;6;3;2;5;4;5;5;6;7;3;6;7;7;3;4;2;7;6;4;-1,204;0,345;1,839;0,809;1,993;1,545;-0,018;2,144;3,356;5,406989853;6,322;2,795;4,166;1,855;3,709
3;6;6;4;4;2;4;2;3;5;6;6;5;4;6;6;5;5;6;6;5;4;5;2;5;1;2;4;2;3;2;6;2;4;2;4;5;6;6;3;6;7;6;5;4;4;4;7;4;3;7;4;5;2;2;5;4;5;5;3;3;6;4;2;6;4;5;5;4;3;3;2;3;2;3;4;5;5;3;3;2;6;4;2;3;1;6;6;2;-1,448;0,803;-0,011;-0,43;0,894;-0,07;-0,426;0,324;4,902;4,207440812;4,799;3,578;3,806;4,047;4,646
6;6;5;6;7;6;7;6;7;7;4;3;6;6;3;3;6;7;6;7;7;4;5;7;7;6;7;6;1;1;1;1;1;1;3;1;1;1;7;1;3;2;5;1;4;5;6;4;1;5;6;3;3;3;3;3;6;3;6;6;5;7;7;6;7;7;7;7;7;7;7;7;7;7;7;5;3;7;7;7;7;7;7;4;6;3;6;6;1;1,537;1,832;1,799;0,938;0,546;0,94;1,629;1,279;5,077;5,948139797;4,082;3;6,682;2,014;5,008
6;6;3;3;4;6;5;5;3;4;5;3;4;6;5;4;4;3;2;2;4;4;5;2;5;3;2;4;4;5;4;5;4;2;1;4;3;6;7;3;4;5;5;4;5;3;5;3;2;2;5;4;3;2;2;5;5;6;5;4;4;3;4;5;6;6;5;4;5;6;6;7;6;5;6;5;6;7;6;7;5;6;5;5;6;3;6;5;6;-0,936;-1,551;0,533;-0,43;0,407;-0,284;-1,097;0,227;3,755;3,751972943;3,108;3,19;4,984;4,191;5,331
5;3;3;3;4;2;3;2;3;4;4;4;4;4;4;3;3;3;4;5;4;3;4;4;5;4;3;2;2;3;4;3;3;4;2;4;4;4;5;2;5;5;2;4;4;3;4;4;3;4;3;2;2;3;3;2;4;4;5;4;5;5;5;4;5;3;5;4;3;5;4;4;3;4;3;5;3;5;5;4;3;4;2;2;3;4;4;3;2;-0,921;-0,436;-0,933;-0,482;-0,4;-0,958;-0,701;-0,92;3,678;3,390078918;3,309;2,407;4,301;3,399;4,315
6;6;5;2;6;5;7;7;6;6;2;7;7;6;6;4;4;7;7;6;5;6;7;5;7;3;7;7;7;5;2;4;6;7;4;5;4;7;5;2;6;5;4;7;5;4;2;7;6;5;6;6;6;5;6;3;4;5;5;3;2;2;1;6;2;5;4;4;4;3;4;2;5;5;3;6;7;6;7;7;7;6;2;3;5;5;6;6;1;1,011;1,411;0,491;1,409;1,046;1,067;1,456;1,07;4,147;5,735062007;5,691;5,208;3,24;5,074;4,646
5;5;6;2;4;2;6;6;5;6;6;5;5;5;6;6;6;6;6;5;4;5;6;7;7;6;6;5;5;6;4;4;3;1;4;1;4;4;6;2;6;6;4;2;4;4;5;5;5;4;6;3;2;2;2;1;5;5;6;5;5;5;4;3;4;5;6;6;6;5;4;3;6;3;2;3;4;7;7;7;4;6;5;4;4;4;6;5;3;1,05;0,576;-0,703;1,358;1,217;0,991;1,143;0,68;4,678;5,341600902;5,06;2,003;4,71;3,574;5,315
3;2;5;2;4;2;3;3;3;2;5;4;3;4;3;4;4;4;2;3;5;4;6;3;3;1;5;5;6;6;7;7;5;6;3;2;5;5;4;5;6;5;1;2;4;6;4;4;2;1;1;3;5;5;5;5;3;2;1;5;5;6;6;5;3;4;6;6;5;6;4;3;3;4;5;4;5;3;5;6;1;3;3;1;5;3;6;5;1;-0,474;-0,917;-1,394;-0,464;-0,411;-0,972;-0,7;-1,095;4,644;3,29988726;1,322;4,598;4,955;4,501;2,039
3;5;3;2;3;2;4;4;3;5;4;5;3;3;3;2;2;3;5;5;7;5;6;4;5;6;2;3;2;3;4;4;2;4;2;4;5;5;4;2;7;4;4;2;5;3;4;6;2;3;5;4;4;3;2;3;3;3;5;4;4;5;5;5;4;5;4;4;3;4;3;4;5;2;2;4;2;4;4;3;3;3;5;3;3;2;5;5;2;-0,411;0,343;-0,894;0,359;-1,206;-0,264;0,109;-0,921;4,28;3,879368658;3,417;3,187;4,133;3,49;3,63
7;6;7;6;7;7;7;7;7;7;7;7;6;7;7;6;6;6;3;4;7;7;7;6;6;7;7;4;2;1;1;1;4;3;6;6;2;2;6;5;6;3;3;4;5;5;7;7;6;6;7;2;3;2;2;1;6;7;7;7;7;7;7;7;7;7;6;6;7;7;7;4;6;7;7;7;7;7;7;7;7;5;5;5;5;7;7;7;7;1,308;0,313;1,993;1,563;1,86;2,118;1,225;2,401;6,356;6,29199549;6,369;1,997;6,611;3,45;6,646
5;4;6;4;4;3;6;5;6;7;6;6;6;5;6;5;6;6;6;6;6;5;7;5;6;7;6;6;6;5;5;5;4;4;3;5;6;5;6;3;6;6;2;4;6;6;6;7;5;5;6;4;2;3;3;5;5;5;5;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;5;6;6;6;5;6;6;3;5;5;6;6;2;1,549;1,199;-0,278;0,994;1,219;1,288;1,422;0,964;6,301;5,658399098;5,369;3,402;5,931;4,66;5
5;6;4;2;2;1;3;2;2;6;2;1;2;2;2;1;2;3;2;2;1;1;2;1;6;7;3;1;5;7;6;6;5;4;6;4;1;4;4;6;1;2;4;6;2;5;5;1;1;2;4;2;1;1;2;2;2;4;6;1;2;2;2;3;2;2;2;4;3;2;3;2;2;2;5;3;1;6;4;3;5;3;6;2;5;3;2;2;2;-0,396;-2,129;-1,049;-1,652;-1,845;-1,538;-1,58;-1,8;3,797;2,399098083;2,417;1,607;2,324;4,619;3,921
4;4;4;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;4;4;3;3;5;3;4;4;3;3;2;2;2;3;2;2;2;2;3;3;4;3;5;5;2;2;4;4;4;4;2;2;4;2;2;2;2;3;3;3;3;4;4;5;4;4;4;4;5;4;4;4;4;5;3;3;3;3;3;4;4;3;2;3;3;2;5;3;5;5;2;-0,679;-0,866;-0,7;-0,661;-0,887;-0,977;-0,837;-1,041;4;3,24464487;2,739;2,198;4,226;2,546;3
