AEM1;AEM2;AEM3;AEM4;AEM5;AEM6;ASM1;ASM2;ASM3;ASM4;ASM5;ASM6;AIC1;AIC2;AIC3;AIC4;AIC5;ADR1;ADR2;ADR3;ADR4;AEV1;AEV2;AEV3;AEV4;ADC1;ADC2;ADC3;PAS7;PAS18;PAS13;PAS20;PAS1;PAS12;PAS8;PAS15;PAS6;PAS14;PAS5;PAS16;PAS17;PAS9;PAS3 ;PAS2;PAS11;AAC1;AAC2;AAC3;ATP1;ATP2;ATP3;AVR1;AVR2;AVR3;AVR4;AVR5;TRU1;TRU2;TRU3;CRT1;CRT2;CRT3;CRT4;CRT5;CRT6;CRT7;CRT8;CRT9;CRT10;CRT11;CRT12;CRT13;JSA1;JSA2;JSA3;JSA4;JSA5;MHL1;MHL2;MHL3;MHL4;MHL5;ATI1;ATI2 ;ATI3;ATI4;ATI5;ATI6;ATI7 ;ADC;ADR;AEM;AEV;AIC;ASM;ACL;ANR;AAC_ustd;ALD_ustd;ATP_ustd;AVR_ustd;CRT_ustd;PAS_ustd;TRU_ustd
5;3;5;4;3;3;5;6;6;6;6;6;5;5;6;6;5;3;6;5;5;4;6;6;6;6;4;6;7;7;7;7;6;6;5;6;6;6;5;5;7;5;3;5;6;3;4;4;5;5;5;6;6;5;5;5;6;4;4;6;6;6;5;3;6;6;6;6;5;5;6;6;5;5;5;5;2;7;7;6;6;5;7;5;5;5;4;5;7;0,805;0,159;-0,699;0,758;1,051;1,131;0,662;0,676;3,678;5,049605411;5;5,395;5,529;5,819;4,709
6;2;5;4;4;4;4;5;6;5;4;4;4;4;4;5;4;4;5;5;4;5;6;5;6;5;4;4;3;5;6;5;4;5;3;3;5;6;5;4;6;7;3;5;6;6;5;4;5;5;5;3;3;4;5;5;4;4;4;4;4;5;5;4;4;5;4;4;4;4;4;4;4;3;3;2;2;3;3;3;3;3;3;2;5;2;7;7;1;0,064;-0,032;-0,545;0,766;0,072;0,113;0,311;-0,115;5,021;4,422773393;5;4,011;4,219;4,558;4
6;6;5;6;4;2;6;6;7;6;7;7;7;6;6;5;6;6;7;7;7;6;6;2;5;7;5;6;7;7;6;7;7;6;5;6;7;6;6;6;7;6;6;7;6;6;7;7;4;6;5;4;5;5;6;7;5;5;5;6;6;7;6;6;5;6;6;7;5;6;4;6;6;3;1;5;6;6;3;4;7;6;6;3;6;3;5;3;3;1,305;1,83;0,451;0,182;1,53;1,701;1,244;1,533;6,678;5,848928974;4,987;5,403;5,845;6,343;5
3;2;2;1;2;1;2;3;3;4;3;4;4;5;4;3;4;3;4;4;5;3;4;3;3;2;2;3;2;2;2;3;2;3;1;4;5;4;3;1;5;2;1;4;6;4;4;4;3;3;4;2;2;2;2;3;5;3;3;4;5;6;6;5;6;3;5;4;3;5;4;5;2;3;3;5;1;4;5;4;3;4;2;3;3;3;5;6;2;-1,435;-0,481;-2,201;-1,112;-0,078;-1,12;-1,16;-1,314;4;2,906426156;3,369;2,198;4,67;2,962;3,709
6;6;6;6;5;6;4;3;6;6;6;6;5;4;5;5;5;7;7;6;5;7;7;3;6;4;3;3;5;6;6;5;4;5;6;4;4;5;5;4;5;6;2;4;4;5;5;6;4;4;4;4;5;4;4;5;3;4;3;4;4;4;4;4;4;3;4;5;4;4;4;4;4;3;3;3;4;3;3;4;2;2;3;4;3;4;5;6;3;-0,679;1,411;1,417;1,009;0,567;0,603;0,654;1,001;5,301;5,214205186;4;4,392;4,012;4,6;3,331
6;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;4;6;6;5;3;5;5;5;5;4;5;4;5;5;5;6;4;6;6;5;4;6;5;6;6;4;4;5;4;5;4;4;5;5;5;5;5;5;6;5;5;5;6;6;6;5;5;5;5;5;5;5;5;5;6;5;5;2;5;5;3;5;5;6;6;3;0,321;0,364;0,377;0,161;0,558;0,42;0,32;0,546;5,678;4,774520857;4,369;4,392;5,3;4,887;5
6;3;6;2;2;2;5;5;6;7;6;7;4;3;5;6;5;6;5;4;7;7;2;6;7;7;6;6;2;6;6;7;6;6;6;4;3;5;5;6;7;4;7;7;7;7;7;7;4;5;3;5;3;2;2;5;2;3;3;4;5;6;7;7;6;6;7;7;7;7;7;6;4;6;6;5;1;5;3;6;7;5;2;2;6;5;6;6;1;1,549;0,716;-1,546;0,646;0,408;1,297;1,108;0,19;7;5,064261556;3,94;3,39;6,317;5,511;2,646
5;6;3;4;5;6;4;3;3;3;4;6;5;5;4;4;4;5;4;5;5;7;6;5;6;6;4;6;1;2;2;1;1;1;1;1;1;3;3;1;7;3;1;1;3;4;5;6;4;3;5;1;1;1;1;1;6;5;6;6;4;6;6;6;6;5;6;5;4;4;5;5;3;2;2;4;2;6;6;7;7;6;2;2;3;2;5;5;3;0,805;0,163;0,955;1,15;0,23;-0,546;0,816;0,19;4,979;4,887260428;4,06;1;5,205;1,562;5,669
3;5;4;2;3;2;3;3;3;5;5;6;2;4;2;3;2;3;3;3;2;3;4;2;5;3;3;3;3;3;4;2;3;3;3;2;5;5;4;3;5;3;2;2;2;5;5;4;2;2;2;2;2;2;2;3;3;3;3;4;5;4;3;4;3;5;5;3;3;3;3;3;2;4;4;3;3;4;5;4;3;4;3;3;3;2;3;4;2;-0,935;-1,498;-0,894;-0,85;-1,225;-0,232;-1,241;-0,914;4,699;3,067643743;2;2,198;3,683;3,062;3
5;4;4;3;3;3;4;4;4;4;5;4;4;4;4;3;4;4;4;4;4;4;5;3;5;4;3;4;3;3;3;3;2;3;2;4;4;4;5;3;6;5;3;3;4;4;5;5;3;3;4;2;3;2;2;3;4;4;4;4;5;5;5;4;5;5;5;5;4;4;4;4;4;3;4;4;4;5;4;4;3;4;3;3;4;3;5;5;3;-0,436;-0,47;-0,7;-0,246;-0,235;-0,275;-0,436;-0,466;4,678;3,788049605;3,369;2,392;4,524;3,3;4
